order_id,customer_id,order_date,order_status,total_amount
536365,17850,12-01-2010 08:26,Completed,0
536366,17850,12-01-2010 08:28,Completed,5521.14
536367,13047,12-01-2010 08:34,Completed,0
536368,13047,12-01-2010 08:34,Completed,0
536369,13047,12-01-2010 08:35,Completed,0
536370,12583,12-01-2010 08:45,Completed,0
536371,13748,12-01-2010 09:00,Completed,0
536372,17850,12-01-2010 09:01,Completed,0
536373,17850,12-01-2010 09:02,Completed,0
536374,15100,12-01-2010 09:09,Completed,0
536375,17850,12-01-2010 09:32,Completed,2.97
536376,15291,12-01-2010 09:32,Completed,99.75
536377,17850,12-01-2010 09:34,Completed,6.7
536378,14688,12-01-2010 09:37,Completed,0
536380,17809,12-01-2010 09:41,Completed,6915.65
536381,15311,12-01-2010 09:41,Completed,38.09
536382,16098,12-01-2010 09:45,Completed,45.85
536384,18074,12-01-2010 09:53,Completed,54.25
536385,17420,12-01-2010 09:56,Completed,66.65
536386,16029,12-01-2010 09:57,Completed,0
536387,16029,12-01-2010 09:58,Completed,0
536388,16250,12-01-2010 09:59,Completed,12.8
536389,12431,12-01-2010 10:03,Completed,252.3
536390,17511,12-01-2010 10:19,Completed,1334.13
536392,13705,12-01-2010 10:29,Completed,636.68
536393,13747,12-01-2010 10:37,Completed,2396.96
536394,13408,12-01-2010 10:39,Completed,8.47
536395,13767,12-01-2010 10:47,Completed,7257.08
536396,17850,12-01-2010 10:51,Completed,5.46
536397,17924,12-01-2010 10:51,Completed,549
536398,13448,12-01-2010 10:52,Completed,69.3
536399,17850,12-01-2010 10:52,Completed,0
536400,13448,12-01-2010 10:53,Completed,0
536401,15862,12-01-2010 11:21,Completed,10661.69
536402,15513,12-01-2010 11:22,Completed,26.4
536403,12791,12-01-2010 11:27,Completed,0
536404,16218,12-01-2010 11:29,Completed,0
536405,14045,12-01-2010 11:32,Completed,0
536406,17850,12-01-2010 11:33,Completed,0
536407,17850,12-01-2010 11:34,Completed,0
536408,14307,12-01-2010 11:41,Completed,0
536409,17908,12-01-2010 11:45,Completed,0
536412,17920,12-01-2010 11:49,Completed,0
536414,17253,12-01-2010 11:52,Completed,12
536415,12838,12-01-2010 11:57,Completed,0
536416,13255,12-01-2010 11:58,Completed,0
536420,16583,12-01-2010 12:03,Completed,0
536423,18085,12-01-2010 12:08,Completed,0
536425,13758,12-01-2010 12:08,Completed,0
536437,13694,12-01-2010 12:12,Completed,0
536446,15983,12-01-2010 12:15,Completed,0
536460,14849,12-01-2010 12:22,Completed,0
536463,14849,12-01-2010 12:22,Completed,0
536464,17968,12-01-2010 12:23,Completed,0
536466,14849,12-01-2010 12:23,Completed,0
536477,16210,12-01-2010 12:27,Completed,0
536488,17897,12-01-2010 12:31,Completed,0
536500,17377,12-01-2010 12:35,Completed,0
536502,16552,12-01-2010 12:36,Completed,0
536508,17181,12-01-2010 12:38,Completed,0
536514,17951,12-01-2010 12:40,Completed,0
536520,14729,12-01-2010 12:43,Completed,0
536521,12748,12-01-2010 12:48,Completed,76.83
536522,15012,12-01-2010 12:49,Completed,0
536523,12868,12-01-2010 12:50,Completed,0
536524,17572,12-01-2010 12:51,Completed,0
536525,14078,12-01-2010 12:54,Completed,0
536526,14001,12-01-2010 12:58,Completed,3.35
536527,12662,12-01-2010 13:04,Completed,2.95
536528,15525,12-01-2010 13:17,Completed,7335.45
536529,14237,12-01-2010 13:20,Completed,7660.48
536530,17905,12-01-2010 13:21,Completed,26.35
536531,15485,12-01-2010 13:23,Completed,351.47
536532,12433,12-01-2010 13:24,Completed,0
536533,16955,12-01-2010 13:31,Completed,0
536534,15350,12-01-2010 13:33,Completed,0
536535,15605,12-01-2010 13:38,Completed,0
536536,18144,12-01-2010 13:45,Completed,9.65
536537,15922,12-01-2010 13:51,Completed,0
536538,14594,12-01-2010 13:54,Completed,0
536539,15165,12-01-2010 14:03,Completed,0
536540,14911,12-01-2010 14:05,Completed,0
536541,14911,12-01-2010 14:05,Completed,0
536542,16456,12-01-2010 14:11,Completed,8223.4
536544,17253,12-01-2010 14:32,Completed,12
536545,17253,12-01-2010 14:32,Completed,12
536546,17253,12-01-2010 14:33,Completed,12
536547,17253,12-01-2010 14:33,Completed,12
536549,17253,12-01-2010 14:34,Completed,5.07
536550,17253,12-01-2010 14:34,Completed,12
536551,17346,12-01-2010 14:34,Completed,0
536552,17253,12-01-2010 14:34,Completed,12
536553,17253,12-01-2010 14:35,Completed,12
536554,17253,12-01-2010 14:35,Completed,12
536555,17253,12-01-2010 14:37,Completed,12
536556,17643,12-01-2010 14:38,Completed,0
536557,17841,12-01-2010 14:41,Completed,0
536558,17253,12-01-2010 14:48,Completed,924.59
536559,17873,12-01-2010 14:54,Completed,19.5
536560,13093,12-01-2010 15:00,Completed,13541.33
536561,12921,12-01-2010 15:06,Completed,24.9
536562,13468,12-01-2010 15:08,Completed,15.7
536563,17760,12-01-2010 15:08,Completed,6293.86
536564,13468,12-01-2010 15:08,Completed,0
536565,17253,12-01-2010 15:15,Completed,11540.34
536566,16928,12-01-2010 15:21,Completed,1240.19
536567,16048,12-01-2010 15:27,Completed,2164.51
536568,16048,12-01-2010 15:28,Completed,2416.59
536569,16274,12-01-2010 15:35,Completed,2448.29
536570,14496,12-01-2010 15:35,Completed,135.05
536571,14696,12-01-2010 15:37,Completed,5058.04
